year	duration_min	rating	name_rus	director	name_eng	vote_count	main_actors
2017	132	8.761	Зови меня своим именем	Лука Гуаданьино	Call Me by Your Name	576	['Арми Хаммер', 'Тимоти Шаламе']
2013	106	8.318	Одержимость	Дэмьен Шазелл	Whiplash	142583	['Майлз Теллер', 'Дж.К. Симмонс']
2012	165	8.174	Джанго освобожденный	Квентин Тарантино	Django Unchained	289363	['Джейми Фокс', 'Кристоф Вальц']
2013	123	8.085	Гонка	Рон Ховард	Rush	120281	['Крис Хемсворт', 'Даниэль Брюль']
2014	149	7.933	Исчезнувшая	Дэвид Финчер	Gone Girl	233111	['Бен Аффлек', 'Розамунд Пайк']
2016	139	7.891	По соображениям совести	Мэл Гибсон	Hacksaw Ridge	75378	['Эндрю Гарфилд', 'Сэм Уортингтон']
2017	164	7.876	Бегущий по лезвию 2049	Дени Вильнёв	Blade Runner 2049	38886	['Райан Гослинг', 'Дэйв Батиста']
2014	100	7.86	Отель «Гранд Будапешт»	Уэс Андерсон	The Grand Budapest Hotel	181092	['Рэйф Файнс', 'Ф. Мюррэй Абрахам']
2015	147	7.847	Голос улиц	Ф. Гэри Грей	Straight Outta Compton	28134	['О’Ши Джексон мл.', 'Кори Хоукинс']
2013	180	7.837	Волк с Уолл-стрит	Мартин Скорсезе	The Wolf of Wall Street	225878	['Леонардо ДиКаприо', 'Джона Хилл']
2014	142	7.835	Судья	Дэвид Добкин	The Judge	115064	['Роберт Дауни мл.', 'Роберт Дювалл']
2012	106	7.835	Рэп как искусство	Айс-Ти	Something from Nothing: The Art of Rap	542	['Бан Б.', 'Би-Рил']
2015	187	7.832	Омерзительная восьмерка	Квентин Тарантино	The Hateful Eight	145308	['Курт Рассел', 'Сэмюэл Л. Джексон']
2015	120	7.815	Безумный Макс: Дорога ярости	Джордж Миллер	Mad Max: Fury Road	180890	['Том Харди', 'Шарлиз Терон']
2013	118	7.81	Далласский клуб покупателей	Жан-Марк Валле	Dallas Buyers Club	125510	['Мэттью МакКонахи', 'Дженнифер Гарнер']
2015	156	7.809	Выживший	Алехандро Гонсалес Иньярриту	The Revenant	175056	['Леонардо ДиКаприо', 'Том Харди']
2012	172	7.724	Облачный атлас	Лана Вачовски	Cloud Atlas	169227	['Том Хэнкс', 'Холли Берри']
2015	118	7.703	Комната	Леонард Абрахамсон	Room	40414	['Бри Ларсон', 'Джейкоб Тремблэ']
2013	133	7.702	12 лет рабства	Стив МакКуин	12 Years a Slave	107594	['Чиветель Эджиофор', 'Майкл Фассбендер']
2013	153	7.684	Пленницы	Дени Вильнёв	Prisoners	95980	['Хью Джекман', 'Джейк Джилленхол']
2015	130	7.621	Kingsman: Секретная служба	Мэттью Вон	Kingsman: The Secret Service	174504	['Адриан Куинтон', 'Колин Фёрт']
2012	109	7.617	Патруль	Дэвид Эйр	End of Watch	55729	['Джейк Джилленхол', 'Майкл Пенья']
2017	135	7.603	Оно	Андрес Мускетти	It	67346	['Джейден Либерер', 'Джереми Рэй Тейлор']
2014	119	7.588	Бёрдмэн	Алехандро Гонсалес Иньярриту	Birdman or (The Unexpected Virtue of Ignorance)	135832	['Майкл Китон', 'Эдвард Нортон']
2013	93	7.568	Metallica: Сквозь невозможное	Нимрод Антал	Metallica Through the Never	10697	['Дэйн ДеХаан', 'Джеймс Хетфилд']
2013	93	7.565	Грязь	Джон С. Бейрд	Filth	111977	['Джеймс МакЭвой', 'Джейми Белл']
2013	126	7.564	Она	Спайк Джонс	Her	90822	['Хоакин Феникс', 'Скарлетт Йоханссон']
2016	118	7.553	Капитан Фантастик	Мэтт Росс	Captain Fantastic	50106	['Вигго Мортенсен', 'Джордж МакКэй']
2014	108	7.549	Я – начало	Майк Кэхилл	I Origins	51041	['Майкл Питт', 'Брит Марлинг']
2015	120	7.54	Куда бы еще вторгнуться?	Майкл Мур	Where to Invade Next	1583	['Майкл Мур', 'Криста Киуру']
2013	109	7.533	Перед полуночью	Ричард Линклейтер	Before Midnight	11711	['Итан Хоук', 'Жюли Дельпи']
